date,none,b117,cali,delta
12/27/2020,0.9900000,0.0100000,0.0000000,0.0000000
1/3/2021,0.9850525,0.0149475,0.0000000,0.0000000
1/10/2021,0.9677226,0.0222774,0.0100000,0.0000000
1/17/2021,0.9499436,0.0330588,0.0169976,0.0000000
1/24/2021,0.9225249,0.0487484,0.0287267,0.0000000
1/31/2021,0.8806839,0.0712288,0.0480874,0.0000000
2/7/2021,0.8180235,0.1027297,0.0792468,0.0000000
2/14/2021,0.7270915,0.1455125,0.1273959,0.0000000
2/21/2021,0.6015397,0.2011976,0.1972626,0.0000000
2/28/2021,0.4404674,0.2697556,0.2897770,0.0000000
3/7/2021,0.3568090,0.3485398,0.2946512,0.0000000
3/14/2021,0.3082387,0.4321100,0.2596512,0.0000000
3/21/2021,0.3156999,0.5134355,0.1708646,0.0000000
3/28/2021,0.3078767,0.5860912,0.1060322,0.0000000
4/4/2021,0.2907392,0.6461278,0.0631330,0.0000000
4/11/2021,0.2708288,0.6925724,0.0365988,0.0000000
4/18/2021,0.2474451,0.7266809,0.0208740,0.0050000
4/25/2021,0.2264415,0.7507756,0.0117921,0.0109908
5/2/2021,0.2020485,0.7673298,0.0066251,0.0239965
5/9/2021,0.2506760,0.6939803,0.0037105,0.0516332
5/16/2021,0.2523120,0.6378547,0.0020745,0.1077587
5/23/2021,0.2532278,0.5338215,0.0011587,0.2117920
5/30/2021,0.2537397,0.3707708,0.0006468,0.3748426